Model,Model Type,Accuracy,Precision,Recall,F1-score
mBERT,Transformer,0.8225486304088924,0.8678516228748068,0.8027162258756254,0.8340141106572594
DistilBERT Multilingual,Transformer,0.8197697499007542,0.8566037735849057,0.8112937812723374,0.8333333333333334
AfroXLMR,Transformer,0.8058753473600635,0.7985564304461942,0.8699070764832023,0.8327061238453644
XLM-RoBERTa,Transformer,0.795553791186979,0.8313343328335832,0.7927090779127949,0.8115623856567874
BiGRU,Deep Learning,0.7661770543866614,0.8004451038575667,0.771265189421015,0.7855842737531852
CNN-LSTM,Deep Learning,0.7713378324732036,0.8232521602513747,0.7491065046461758,0.7844311377245508
CNN,Deep Learning,0.760619293370385,0.8311148086522463,0.7140814867762688,0.7681660899653979
BiLSTM,Deep Learning,0.7645891226677253,0.8516579406631762,0.6976411722659042,0.7669941060903733
LSTM,Deep Learning,0.555379118697896,0.555379118697896,1.0,0.7141398672792241
GRU,Deep Learning,0.555379118697896,0.555379118697896,1.0,0.7141398672792241
